"station_id","network_id","station_full_name","site_lon","site_lat","operational_from","operational_to","permanent_installation","oceanops_ref","wmo_code","wigos_id","EDMO_code","summary","DoA_estimation_method","calibration_type","calibration_link","last_calibration_date","institution_name","institution_website","manufacturer","transmit_central_frequency","number_of_transmit_antennas","number_of_receive_antennas","temporal_resolution","radial_QC_velocity_threshold","radial_QC_variance_threshold","radial_QC_temporal_derivative_threshold","radial_QC_median_filter_RCLim","radial_QC_median_filter_AngLim","radial_QC_median_filter_CurLim","radial_QC_average_radial_bearing_min","radial_QC_average_radial_bearing_max","radial_QC_radial_count_threshold","number_of_range_cells","EU_HFR_processing_flag","connected_to_NRT","connected_to_REP","radial_input_folder_path","radial_HFRnetCDF_folder_path","SDC_distribution_flag","SDC_OpenDAP_data_url","SDC_folder_path"
"2751-PdE-MAZAG","HFR-South","Mazagon HF Radar station","-6.83","37.13","2016-02-15",NULL,"1","6204732","6204732","0-22000-0-6204732","2751","The data set consists of maps of radial velocity of the sea water surface current collected at Mazagon (MAZA) site along the Southern coast of Spain, close to the border of Portugal. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","maribel@puertos.es","2025-02-20","PUERTOS DEL ESTADO","http://www.puertos.es","CODAR Ocean Sensors SeaSonde","13.5","1","1","60","1.2","1","1","5","30","1","200","270","200","54","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-South/Radials_ruv/MAZA","/home/radarcombine/EU_HFR_NODE/HFR-South/Radials_nc","1","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-South-MAZA_v3","/home/radarcombine/EU_HFR_NODE/HFR-South/SDC/Radials"
"590-IHOC-PL015","HFR-Lisboa","PL015_EPSM","-9.217","38.415","2012-04-04",NULL,"1","6204722","6204722","0-22000-0-6204722","590","The data set consists of maps of radial velocity of the sea water surface current collected at Farol do Cabo Espichel (EPSM) site along the coast of Lisboa. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","ih.snig.metadados@hidrografico.pt","2023-05-16","Instituto Hidrografico","http://www.hidrografico.pt","CODAR Ocean Sensors SeaSonde","12.9","1","1","60","1.8","1","1","5","30","1","235","310","200","66","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-Lisboa/Radials_ruv/EPSM","/home/radarcombine/EU_HFR_NODE/HFR-Lisboa/Radials_nc","1","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-Lisboa-EPSM_v3","/home/radarcombine/EU_HFR_NODE/HFR-Lisboa/SDC/Radials"
"590-IHOC-PL016","HFR-Lisboa","PL016_JLSM","-9.326","38.675","2012-04-04",NULL,"1","6204721","6204721","0-22000-0-6204721","590","The data set consists of maps of radial velocity of the sea water surface current collected at Forte Sao Juliao (JLSM) site along the coast of Lisboa. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","ih.snig.metadados@hidrografico.pt","2023-05-18","Instituto Hidrografico","http://www.hidrografico.pt","CODAR Ocean Sensors SeaSonde","12.4","1","1","60","1.2","1","1","5","30","1","180","255","200","87","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-Lisboa/Radials_ruv/JLSM","/home/radarcombine/EU_HFR_NODE/HFR-Lisboa/Radials_nc","1","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-Lisboa-JLSM_v3","/home/radarcombine/EU_HFR_NODE/HFR-Lisboa/SDC/Radials"
"590-IHOC-PL017","HFR-South","PL017_SGTR","-8.949","36.994","2016-02-15",NULL,"1","6204720","6204720","0-22000-0-6204720","590","The data set consists of maps of radial velocity of the sea water surface current collected at Farol de Sagres (SGTR) site in Southern Portugal. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","ih.snig.metadados@hidrografico.pt","2020-01-16","Instituto Hidrografico","http://www.hidrografico.pt","CODAR Ocean Sensors SeaSonde","13.5","1","1","60","0.9","1","1","5","30","1","150","225","200","81","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-South/Radials_ruv/SGTR","/home/radarcombine/EU_HFR_NODE/HFR-South/Radials_nc","1","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-South-SGTR_v3","/home/radarcombine/EU_HFR_NODE/HFR-South/SDC/Radials"
"590-IHOC-PL018","HFR-South","PL018_AFTR","-8.443","37.087","2016-02-15",NULL,"1","6204719","6204719","0-22000-0-6204719","590","The data set consists of maps of radial velocity of the sea water surface current collected at Farol de Alfanzina (AFTR) site in Southern Portugal. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","ih.snig.metadados@hidrografico.pt","2020-01-16","Instituto Hidrografico","http://www.hidrografico.pt","CODAR Ocean Sensors SeaSonde","13.5","1","1","60","1.8","1","1","5","30","1","145","220","200","90","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-South/Radials_ruv/AFTR","/home/radarcombine/EU_HFR_NODE/HFR-South/Radials_nc","1","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-South-AFTR_v3","/home/radarcombine/EU_HFR_NODE/HFR-South/SDC/Radials"
"590-IHOC-PL019","HFR-South","PL019_VATR","-7.444","37.179","2016-02-15",NULL,"1","6204723","6204723","0-22000-0-6204723","590","The data set consists of maps of radial velocity of the sea water surface current collected at Vila Real de Santo Antonio (VATR) site in Southern Portugal. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","ih.snig.metadados@hidrografico.pt","2021-06-07","Instituto Hidrografico","http://www.hidrografico.pt","CODAR Ocean Sensors SeaSonde","13.5","1","1","60","1.2","1","1","5","30","1","135","210","200","135","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-South/Radials_ruv/VATR","/home/radarcombine/EU_HFR_NODE/HFR-South/Radials_nc","1","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-South-VATR_v3","/home/radarcombine/EU_HFR_NODE/HFR-South/SDC/Radials"
"AGL1","HFR-US-WestCoast","Pt. Arguello","-120.649","34.5769","2010-07-21",NULL,"1",NULL,NULL,NULL,"3790","The data set consists of maps of radial velocity of the sea water surface current collected at Pt. Arguello, CA (AGL1) site along the Western US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"California Polytechnic State University ""San Luis Obispo"" (SLO)","https://www.calpoly.edu/","Codar","4.8","1","1","60","5","1","2","5","30","3","0","360","200","250","1","0","0",,,"0",,
"AKKR","HFR-Haifa","Akkra	

","35.0613","32.9194",NULL,NULL,"0",NULL,NULL,NULL,"1051","The data set consists of maps of radial velocity of the sea water surface current collected at Akkra (AKKR) site in the Haifa Bay. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hezi.gildor@huji.ac.il",NULL,"The Fredy and Nadine Herrmann Institute of Earth Sciences","https://en.earth.huji.ac.il/","Codar","24","1","1","60","1.2","1","1","5","30","1","0","360","200","20","0","0","0",,,"0",,
"ALFA","HFR-DeltaEbro","ALFA","0.8269","40.6708","2014-01-01",NULL,"1","6103610","6103610","0-22000-0-6103610","2751","The data set consists of maps of radial velocity of the sea water surface current collected at Alfacada (ALFA) site in the Ebro River Delta (NE Spain). Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","plorente_externo@puertos.es","2024-10-22","PUERTOS DEL ESTADO","http://www.puertos.es","Codar","13.5","1","1","60","1","1","1","5","30","1","105","220","200","91","1","1","1","/home/radarcombine/EU_HFR_NODE/HFR-DeltaEbro/Radials_ruv/ALFA","/home/radarcombine/EU_HFR_NODE/HFR-DeltaEbro/Radials_nc","1","https://thredds.hfrnode.eu:8443/thredds/dodsC/EUHFR_NRTcurrent_HFR-DeltaEbro-ALFA_v3","/home/radarcombine/EU_HFR_NODE/HFR-DeltaEbro/SDC/Radials"
"AMAG","HFR-US-EastGulfCoast","Amagansett","-72.1237","40.9693","2014-03-27",NULL,"1",NULL,NULL,NULL,"1435","The data set consists of maps of radial velocity of the sea water surface current collected at Amagansett, New York (AMAG) site along the Eastern US coast. Data are averaged over a time interval of 1 hour around the cardinal hour. HF-RADAR measurements of ocean velocity are radial in direction relative to the radar location and representative of the upper 0.3-2.5 meters of the ocean.","Direction Finding","APM","hfrnet.administrators@sio.ucsd.edu",NULL,"Rutgers, The State University of New Jersey, Institute of Marine and Coastal Sciences","https://marine.rutgers.edu/","Codar","4.48","1","1","60","5","1","2","5","30","3","0","360","200","250","1","0","0",,,"0",,
